trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
250,False,"{'e': 0.010910823508464855, 'a': 0.54}",20,6,19.30367421592956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'e': 0.010716185680953061, 'a': 0.54}",30,19,18.73716630177895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'e': 0.010525019991348101, 'a': 0.54}",20,9,19.45463885040763,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'e': 0.010337264500294195, 'a': 0.54}",20,10,17.653093022098197,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'e': 0.010152858373369763, 'a': 0.54}",20,16,8.836186266678219,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'e': 0.009971741861376466, 'a': 0.54}",20,2,-16.419895703582025,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
256,False,"{'e': 0.009793856280979996, 'a': 0.54}",20,15,11.87984567828494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'e': 0.009619143995696142, 'a': 0.54}",25,5,31.721842944193195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'e': 0.009447548397216066, 'a': 0.54}",25,17,15.436800687448027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'e': 0.009279013887064744, 'a': 0.54}",20,0,30.706976375919364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
260,False,"{'e': 0.009113485858586519, 'a': 0.54}",25,3,37.18929340186339,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'e': 0.008950910679252112, 'a': 0.54}",25,11,24.266131270414334,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'e': 0.008791235673281187, 'a': 0.54}",25,5,35.18108915202961,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'e': 0.008634409104574973, 'a': 0.54}",25,17,16.677190861706933,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'e': 0.008480380159953269, 'a': 0.54}",20,6,24.97231577666875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'e': 0.008329098932690555, 'a': 0.54}",25,8,34.135415623767244,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'e': 0.00818051640634577, 'a': 0.54}",30,8,16.706147752400078,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
267,False,"{'e': 0.00803458443888058, 'a': 0.54}",20,10,18.164076856264955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'e': 0.00789125574706089, 'a': 0.54}",20,9,17.94522380061731,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'e': 0.007750483891136699, 'a': 0.54}",20,4,24.499514504890527,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'e': 0.007612223259795201, 'a': 0.54}",25,12,4.366084045797251,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
271,False,"{'e': 0.007476429055382319, 'a': 0.54}",30,4,5.259141095226438,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
272,False,"{'e': 0.007343057279387895, 'a': 0.54}",20,10,20.925587657969672,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'e': 0.007212064718189751, 'a': 0.54}",35,18,34.21786085590359,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'e': 0.007083408929052125, 'a': 0.54}",25,9,25.727369572272572,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'e': 0.006957048226373836, 'a': 0.54}",25,13,24.89860517843865,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'e': 0.006832941668181813, 'a': 0.54}",20,16,5.242168742279853,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
